Location,River/Reach,Site ID,Site number,Pre Leaf Litter Weight- Fine (g),Pre Leaf Litter Weight- Coarse (g),Pre Teabag Weight (g),Pre Wettex Weight,Post Leaf Litter-Fine ,Post Leaf Litter-Coarse,Post Wettex- Fine ,Post Wettex -Coarse,Coarse Leaf k,Fine leaf k ,Coarse wettex k,Fine wettex k ,Teabag k f,Teabag 2 k c,Temperature,Gammarus,Asellus ,Leech ,Caseless Caddis,Cased Caddis,Mayfly,Snail,Site ID,Imidacloprid Concentration ,Fipronil Concentration,Unit ,Percentage Urban,Percentage Suburban ,Percentage Urban and Suburban,Sum_Urban,Sum_Suburban,Total Area ,Imidacloprid,Imida_bi
Kennet,Littlecote,12a,67,4.948,4.94,1.9,2.44,4.502,2.959,1.706,2.03,0.028523231,0.054301153,0.039617486,0.033294301,0.020676692,0.021428571,14.988,32,,,,,,,12a,0.0019,0.0004,,0.46,4.290885134,4.750885134,356834.3189,3314891,77254247,Not Present,0
Kennet,Littlecote,12c,69,5.035,4.947,1.9,2.44,4.591,1.788,1.006,0.943,,,,,,,14.988,30,,,,,,,12c,0.0019,0.0004,,0.46,4.290885134,4.750885134,356834.3189,3314891,77254247,Not Present,0
Kennet,Littlecote,12f,72,4.928,4.985,1.9,2.44,3.602,1.274,1.719,0.001,,,,,,,14.988,16,,,,,1,,12f,0.0019,0.0004,,0.46,4.290885134,4.750885134,356834.3189,3314891,77254247,Not Present,0
Norfolk,Pensthorpe,13a,73,4.951,5.013,1.9,2.44,4.348,2.874,1.388,0.113,0.027300447,0.041819353,0.002205308,0.027088212,0.022431078,0.019548872,16.239,10,,,,,4,,13a,0.0031,0.0021,,0.8,6.627412989,7.427412989,621230.4277,5119958,77254247,Not Present,0
Norfolk,Pensthorpe,13c,75,4.996,4.945,1.9,2.44,3.833,3.632,1.944,1.976,0.034975203,0.036533989,0.038563622,0.03793911,0.020802005,0.01962406,16.239,6,,1,,2,,,13c,0.0031,0.0021,,0.8,6.627412989,7.427412989,621230.4277,5119958,77254247,Not Present,0
Norfolk,Pensthorpe,13f,78,4.909,4.934,1.9,2.44,3.771,2.943,1.548,1.904,0.028403498,0.036580042,0.03715847,0.030210773,0.019473684,0.018270677,16.239,10,,,,,,,13f,0.0031,0.0021,,0.8,6.627412989,7.427412989,621230.4277,5119958,77254247,Not Present,0
Norfolk,Sculthorpe,14a,79,5.002,4.952,1.9,2.44,4.496,2.34,2.31,0.926,0.022501731,0.042801927,0.018071819,0.045081967,0.020526316,0.021353383,15.043,2,,,,5,,,14a,0.0031,0.0021,,0.75,5.986347909,6.736347909,576121.4725,4624708,77254247,Not Present,0
Norfolk,Sculthorpe,14c,81,5.026,4.981,1.9,2.44,3.869,2.61,2.24,1.64,0.02495196,0.036657003,0.032006245,0.043715847,0.019498747,0.019448622,15.043,19,,,,14,,,14c,0.0031,0.0021,,0.75,5.986347909,6.736347909,576121.4725,4624708,77254247,Not Present,0
Norfolk,Sculthorpe,14f,84,4.949,4.958,1.9,2.44,3.897,3.347,2.071,0.6,0.032146219,0.037496753,0.011709602,0.040417642,0.019899749,0.021528822,15.043,3,,1,,,,36,14f,0.0031,0.0021,,0.75,5.986347909,6.736347909,576121.4725,4624708,77254247,Not Present,0
Norfolk,Bintry Mill Trout Fishery,15a,85,4.932,5.005,1.9,2.44,4.242,1.593,1.921,1.281,0.015156272,0.040957015,0.025,0.037490242,0.019323308,0.018195489,17.003,2,,,,5,1,,15a,0.0031,0.0021,,0.13,4.077422436,4.207422436,103214.4891,3149982,77254247,Not Present,0
