Location,Site ID,Pre Teabag Weight (g),Post Teabag Weight,Temperature,Imidacloprid Concentration ,Fipronil Concentration,Imidacloprid ,Percentage Urban and Suburban,Point 
Kennet,11d,1.9,0.873,13.75,0.0019,0.0004,Absent,4.569749727,d
Kennet,11e,1.9,0.857,13.75,0.0019,0.0004,Absent,4.569749727,e
Kennet,11f,1.9,0.777,13.75,0.0019,0.0004,Absent,4.569749727,f
Kennet,12a,1.9,0.855,14.988,0.0019,0.0004,Absent,4.750885134,a
Kennet,12b,1.9,0.812,14.988,0.0019,0.0004,Absent,4.750885134,b
Kennet,12c,1.9,0.837,14.988,0.0019,0.0004,Absent,4.750885134,c
Kennet,12d,1.9,0.748,14.988,0.0019,0.0004,Absent,4.750885134,d
Kennet,12e,1.9,0.851,14.988,0.0019,0.0004,Absent,4.750885134,e
Kennet,12f,1.9,0.989,14.988,0.0019,0.0004,Absent,4.750885134,f
Norfolk,13a,1.9,0.78,16.239,0.0031,0.0021,Absent,7.427412989,a
Norfolk,13b,1.9,0.778,16.239,0.0031,0.0021,Absent,7.427412989,b
Norfolk,13c,1.9,0.783,16.239,0.0031,0.0021,Absent,7.427412989,c
Norfolk,13d,1.9,0.76,16.239,0.0031,0.0021,Absent,7.427412989,d
Norfolk,13e,1.9,0.743,16.239,0.0031,0.0021,Absent,7.427412989,e
Norfolk,13f,1.9,0.729,16.239,0.0031,0.0021,Absent,7.427412989,f
Norfolk,14a,1.9,0.852,15.043,0.0031,0.0021,Absent,6.736347909,a
Norfolk,14b,1.9,0.854,15.043,0.0031,0.0021,Absent,6.736347909,b
Norfolk,14c,1.9,0.776,15.043,0.0031,0.0021,Absent,6.736347909,c
Norfolk,14d,1.9,0.919,15.043,0.0031,0.0021,Absent,6.736347909,d
Norfolk,14e,1.9,0.823,15.043,0.0031,0.0021,Absent,6.736347909,e
Norfolk,14f,1.9,0.859,15.043,0.0031,0.0021,Absent,6.736347909,f
Norfolk,15a,1.9,0.726,17.003,0.0031,0.0021,Absent,4.207422436,a
Norfolk,15b,1.9,0.741,17.003,0.0031,0.0021,Absent,4.207422436,b
Norfolk,15c,1.9,0.786,17.003,0.0031,0.0021,Absent,4.207422436,c
Norfolk,15d,1.9,0.848,17.003,0.0031,0.0021,Absent,4.207422436,d
Norfolk,15e,1.9,0.765,17.003,0.0031,0.0021,Absent,4.207422436,e
Norfolk,15f,1.9,0.772,17.003,0.0031,0.0021,Absent,4.207422436,f
Norfolk,16a,1.9,0.799,14.496,,,Absent,5.54978999,a
Norfolk,16b,1.9,0.944,14.496,,,Absent,5.54978999,b
Norfolk,16c,1.9,,14.496,,,Absent,5.54978999,c
Norfolk,16d,1.9,0.915,14.496,,,Absent,5.54978999,d
Norfolk,16e,1.9,,14.496,,,Absent,5.54978999,e
