Location,Site ,Point ID,Point ,Site number,Pre Leaf Litter Weight- Fine (g),Pre Leaf Litter Weight- Coarse (g),Pre Teabag Weight (g),Pre Wettex Weight,Post Leaf Litter-Fine ,Post Leaf Litter-Coarse,Post Wettex- Fine ,Post Wettex -Coarse,Coarse Leaf k,Fine leaf k ,Coarse wettex k,Fine wettex k ,Teabag k f,Teabag 2 k c,Temperature,Gammarus,Asellus ,Leech ,Caseless Caddis,Cased Caddis,Mayfly,Snail,Site ID,Imidacloprid Concentration ,Fipronil Concentration,Unit ,Percentage Urban,Percentage Suburban ,Percentage Urban and Suburban,Sum_Urban,Sum_Suburban,Total Area ,Imidacloprid 
Kennet,Manton Bridge,7e,e,41,4.972,4.936,1.9,2.44,4.84,2.987,1.973,1.793,0.02881647,0.046354825,0.034992194,0.038505074,0.022606516,0.020250627,12.763,81,,,,1,1,,7e,0.0019,0.0004,,0.31,5.1363105,5.4463105,242880.6445,3968018,77254247,Absent
Kennet,Manton Bridge,7f,f,42,4.985,4.928,1.9,2.44,4.367,3.904,2.26,2.4,0.037724181,0.041715623,0.052361436,0.044106167,0.021052632,0.022130326,12.763,30,,,,3,1,,7f,0.0019,0.0004,,0.31,5.1363105,5.4463105,242880.6445,3968018,77254247,Absent
Kennet,Marlborough College,8a ,a,43,5,4.927,1.9,2.44,4.361,3.88,2.355,2.315,0.037499879,0.041533333,0.045179547,0.045960187,0.022431078,0.020701754,13.674,29,,1,,,1,,8a ,0.0019,0.0004,,0.32,4.961221096,5.281221096,249344.1588,3832754,77254247,Absent
Kennet,Marlborough College,8b,b,44,4.91,4.931,1.9,2.44,4.24,4.102,2.355,2.428,0.039613331,0.041121133,0.047384856,0.045960187,0.021177945,0.019774436,13.674,18,,,,,,,8b,0.0019,0.0004,,0.32,4.961221096,5.281221096,249344.1588,3832754,77254247,Absent
Kennet,Marlborough College,8c,c,45,4.966,4.915,1.9,2.44,4.627,3.676,2.183,1.756,0.035614978,0.044368372,0.034270101,0.042603435,0.021954887,0.020426065,13.674,7,,1,,2,2,,8c,0.0019,0.0004,,0.32,4.961221096,5.281221096,249344.1588,3832754,77254247,Absent
Kennet,Marlborough College,8d,d,46,5.02,5.005,1.9,2.44,4.408,4.724,1.797,1.87,0.044945531,0.041813698,0.036494926,0.035070258,0.020426065,0.020350877,13.674,,,,,,,,8d,0.0019,0.0004,,0.32,4.961221096,5.281221096,249344.1588,3832754,77254247,Absent
Kennet,Marlborough College,8e,e,47,5.051,4.936,1.9,2.44,4.409,3.84,2.327,2.178,0.037045612,0.041566498,0.042505855,0.045413739,0.020952381,0.021378446,13.674,7,,,,1,2,,8e,0.0019,0.0004,,0.32,4.961221096,5.281221096,249344.1588,3832754,77254247,Absent
Kennet,Marlborough College,8f ,f,48,4.966,4.938,1.9,2.44,4.288,3.476,1.966,1.58,0.033520415,0.041117696,0.030835285,0.038368462,0.021779449,0.021253133,13.674,25,,,,,,,8f ,0.0019,0.0004,,0.32,4.961221096,5.281221096,249344.1588,3832754,77254247,Absent
Kennet,Stonebridge Meadow,9a,a,49,5.029,4.96,1.9,2.44,,,,,,,,,,,12.793,,,,,,,,9a,0.0019,0.0004,,0.3,4.890481943,5.190481943,228575.4298,3778105,77254247,Absent
Kennet,Stonebridge Meadow,9b,b,50,4.956,4.924,1.9,2.44,4.326,2.099,1.695,0.592,0.020299021,0.041565779,0.011553474,0.033079625,0.020726817,0.022180451,12.793,126,,,,1,,,9b,0.0019,0.0004,,0.3,4.890481943,5.190481943,228575.4298,3778105,77254247,Absent
